var,contribution,year
year,0,2000
quarter,3637071,2000
adj_pay,2521828,2000
agency,1057150,2000
loc,1440901,2000
age,1750536,2000
sex,420962,2000
gs,17278,2000
occ,1184279,2000
grade,17515,2000
occ_cat,0,2000
pay_plan,23683,2000
appoint,150863,2000
schedule,76635,2000
year,0,2001
quarter,3697410,2001
adj_pay,2538364,2001
agency,1066830,2001
loc,1460540,2001
age,1756615,2001
sex,430151,2001
gs,17061,2001
occ,1124493,2001
grade,17204,2001
occ_cat,0,2001
pay_plan,21129,2001
appoint,161881,2001
schedule,77128,2001
year,0,2002
quarter,3735154,2002
adj_pay,2566190,2002
agency,1072633,2002
loc,1483581,2002
age,1790777,2002
sex,445848,2002
gs,17269,2002
occ,1134292,2002
grade,18575,2002
occ_cat,0,2002
pay_plan,19551,2002
appoint,176002,2002
schedule,78519,2002
year,0,2003
quarter,3652616,2003
adj_pay,2594339,2003
agency,1065952,2003
loc,1513080,2003
age,1803312,2003
sex,457418,2003
gs,17237,2003
occ,1111001,2003
grade,18034,2003
occ_cat,0,2003
pay_plan,17639,2003
appoint,191177,2003
schedule,78636,2003
year,0,2004
quarter,3662051,2004
adj_pay,2627678,2004
agency,1065414,2004
loc,1516325,2004
age,1806417,2004
sex,468104,2004
gs,18896,2004
occ,1102385,2004
grade,18644,2004
occ_cat,2,2004
pay_plan,14638,2004
appoint,194576,2004
schedule,78214,2004
year,0,2005
quarter,3748538,2005
adj_pay,2660093,2005
agency,1067494,2005
loc,1520374,2005
age,1814249,2005
sex,476815,2005
gs,18953,2005
occ,1113724,2005
grade,20608,2005
occ_cat,0,2005
pay_plan,15098,2005
appoint,204639,2005
schedule,74130,2005
year,0,2006
quarter,3802263,2006
adj_pay,2715061,2006
agency,1051658,2006
loc,1540561,2006
age,1813640,2006
sex,480074,2006
gs,21599,2006
occ,1107521,2006
grade,20221,2006
occ_cat,10,2006
pay_plan,14161,2006
appoint,209490,2006
schedule,73343,2006
year,0,2007
quarter,4907189,2007
adj_pay,3194734,2007
agency,1001247,2007
loc,2710760,2007
age,1947737,2007
sex,510356,2007
gs,79774,2007
occ,1127061,2007
grade,30758,2007
occ_cat,37,2007
pay_plan,13928,2007
appoint,219433,2007
schedule,74245,2007
year,0,2008
quarter,6521289,2008
adj_pay,4146466,2008
agency,1066713,2008
loc,5230950,2008
age,2330581,2008
sex,606746,2008
gs,166408,2008
occ,1282975,2008
grade,52199,2008
occ_cat,410,2008
pay_plan,13668,2008
appoint,269950,2008
schedule,86244,2008
year,0,2009
quarter,6886038,2009
adj_pay,4451826,2009
agency,1088678,2009
loc,5600286,2009
age,2439916,2009
sex,640557,2009
gs,132557,2009
occ,1319743,2009
grade,50472,2009
occ_cat,1156,2009
pay_plan,12988,2009
appoint,305759,2009
schedule,87543,2009
year,0,2010
quarter,6994173,2010
adj_pay,4587480,2010
agency,1361136,2010
loc,5678790,2010
age,2684304,2010
sex,704956,2010
gs,0,2010
occ,1522221,2010
grade,51776,2010
occ_cat,1469,2010
pay_plan,11418,2010
appoint,371989,2010
schedule,90340,2010
year,0,2011
quarter,7146498,2011
adj_pay,4562757,2011
agency,1572889,2011
loc,5635727,2011
age,2822328,2011
sex,743449,2011
gs,8,2011
occ,1672888,2011
grade,53616,2011
occ_cat,1906,2011
pay_plan,8657,2011
appoint,383844,2011
schedule,87554,2011
year,0,2012
quarter,6999271,2012
adj_pay,4491856,2012
agency,1584884,2012
loc,5531912,2012
age,2838440,2012
sex,753507,2012
gs,4,2012
occ,1687377,2012
grade,53856,2012
occ_cat,1879,2012
pay_plan,8152,2012
appoint,361877,2012
schedule,84642,2012
